id,losses
54,"[196.2843780517578, 10.838448524475098, 72.1388168334961, 8.14326000213623, 36.65010452270508, 12.336697578430176, 30.16825294494629, 24.497312545776367, 8.098946571350098, 4.157124996185303, 0.8149130344390869, 5.544048309326172, 7.543252468109131, 15.265528678894043, 9.688817024230957, 8.078523635864258, 13.99488353729248, 6.259817600250244]"
82,"[789.648193359375, 1842.4345703125, 1270.0018310546875, 627.9117431640625, 1027.5714111328125, 643.3325805664062, 1548.2113037109375, 771.5578002929688, 666.9766845703125, 746.6332397460938, 491.716796875, 109.18219757080078, 130.20770263671875, 75.81330108642578, 4.652508735656738, 53.812896728515625, 150.90040588378906, 180.16673278808594]"
76,"[78.55594635009766, 17.001930236816406, 42.42897415161133, 33.487388610839844, 13.689297676086426, 2.220886468887329, 0.6580295562744141, 5.780289173126221, 6.101943492889404, 21.843957901000977, 13.03625774383545, 18.271162033081055, 14.938526153564453, 2.630782127380371, 0.45726385712623596, 1.3392082452774048, 4.853203296661377, 8.13643741607666]"
188,"[2255.6865234375, 48.77691650390625, 316.3711242675781, 1028.3797607421875, 347.6002502441406, 123.45770263671875, 335.7778015136719, 234.3717803955078, 203.0241241455078, 19.682106018066406, 75.16279602050781, 41.56315612792969, 16.783851623535156, 9.860732078552246, 16.5559139251709, 46.24713134765625, 57.86851119995117, 29.245187759399414]"
49,"[392.4362487792969, 441.9615783691406, 263.1606750488281, 38.96245193481445, 34.79903030395508, 251.0214080810547, 90.48202514648438, 28.73438262939453, 2.7986323833465576, 29.010602951049805, 96.71550750732422, 81.1659927368164, 32.676937103271484, 2.8337173461914062, 8.591143608093262, 18.430776596069336, 36.603031158447266, 670.2373657226562]"
27,"[1690.73828125, 69.4653091430664, 180.50587463378906, 245.7516326904297, 569.2313842773438, 167.1338653564453, 128.22286987304688, 15.78917407989502, 23.02443504333496, 87.5090103149414, 66.5671615600586, 149.85047912597656, 117.06387329101562, 86.691650390625, 54.05006408691406, 45.164424896240234, 23.6578369140625, 3.9745967388153076]"
130,"[1994.9432373046875, 466.4836120605469, 88.03630828857422, 446.5506896972656, 455.235107421875, 281.2071838378906, 64.6181411743164, 23.6212215423584, 147.82476806640625, 12.469246864318848, 102.48401641845703, 13.157344818115234, 52.57366943359375, 68.37295532226562, 42.62670135498047, 71.8051986694336, 41.39610290527344, 37.05535888671875]"
110,"[830.778564453125, 0.05271155759692192, 190.6884002685547, 302.7941589355469, 80.94129180908203, 80.72138214111328, 33.1805305480957, 31.685829162597656, 37.123538970947266, 55.5431022644043, 13.10322093963623, 10.9153470993042, 0.17241866886615753, 33.76353454589844, 44.25156784057617, 34.533843994140625, 35.233306884765625, 27.173742294311523]"
176,"[1434.4609375, 8788.9443359375, 849.14501953125, 554.9605102539062, 3236.13671875, 4041.666259765625, 1846.52880859375, 479.3041076660156, 38.561317443847656, 308.2086181640625, 901.5134887695312, 1404.1524658203125, 1257.2281494140625, 697.67822265625, 407.7718200683594, 121.59430694580078, 12.972233772277832, 76.23473358154297]"
21,"[1570.79248046875, 485.6672668457031, 296.5487976074219, 708.7778930664062, 558.3019409179688, 532.5181274414062, 268.7977294921875, 139.5726776123047, 364.4883728027344, 242.42005920410156, 83.629638671875, 100.94573974609375, 193.8124237060547, 245.81951904296875, 256.96539306640625, 281.9096374511719, 265.7421569824219, 100.809814453125]"
6,"[549.940185546875, 277.0258483886719, 323.4631652832031, 100.38774871826172, 163.88267517089844, 120.4228744506836, 134.26422119140625, 25.823226928710938, 25.078256607055664, 63.71480941772461, 20.73972511291504, 3.0043392181396484, 2.111699342727661, 400.16552734375, 158.31915283203125, 67.82603454589844, 68.26274871826172, 11.44272518157959]"
80,"[283.2772216796875, 67.00341033935547, 75.6064682006836, 83.45043182373047, 12.67441177368164, 1.7200225591659546, 19.002052307128906, 25.957054138183594, 0.42354705929756165, 37.49477005004883, 28.720735549926758, 11.48653507232666, 310.8171081542969, 135.09959411621094, 1.3170063495635986, 3.174745559692383, 4.279866695404053, 1.445863127708435]"
128,"[1118.7132568359375, 725.2166137695312, 979.8928833007812, 215.4506378173828, 371.4173889160156, 355.8424072265625, 152.38365173339844, 311.0395812988281, 313.9256286621094, 146.83441162109375, 73.06055450439453, 13.488460540771484, 17.30498695373535, 3.9322831630706787, 105.54296875, 41.84649658203125, 42.089839935302734, 21.234113693237305]"
35,"[2.4795401096343994, 191.28419494628906, 39.44755935668945, 23.80985450744629, 83.22114562988281, 80.65251922607422, 49.0989990234375, 22.93579864501953, 13.437273979187012, 17.51544761657715, 19.654470443725586, 23.694290161132812, 17.49058723449707, 13.61416244506836, 7.71286153793335, 4.855868816375732, 6.0182366371154785, 7.540250778198242]"
